s,e,10,9,8,7,6,5,4,3,2,1,title
6,11,279,259,189,88,26,11,3,2,1,4,611TwoFathe
6,12,336,246,170,63,24,14,5,2,3,15,612OneSon
6,13,133,96,182,243,118,60,17,8,3,5,613AguaMala
6,14,429,315,215,85,25,17,3,3,2,22,614Monday
6,15,316,278,271,110,35,17,7,4,1,4,615Arcadia
6,16,99,31,95,171,208,113,43,21,14,18,616Alpha
6,17,101,47,137,272,141,50,15,8,5,5,617Trevor
6,18,275,154,211,186,83,47,17,8,5,16,618Milagro
6,19,436,247,208,124,33,26,13,6,7,26,619TheUnnat
6,02,276,251,309,145,48,15,5,1,1,3,602Drive
6,20,167,144,258,139,61,24,11,8,2,6,620Threeofa
6,21,341,258,221,98,41,13,5,1,1,6,621FieldTri
6,22,215,180,247,112,29,18,4,2,3,5,622Biogenes
6,03,535,293,202,111,49,26,28,9,9,14,603Triangle
6,04,476,304,158,71,32,15,3,1,2,28,604Dreamlan
6,05,391,282,174,82,37,20,5,2,1,6,605Dreamlan
6,06,339,226,265,174,59,35,14,13,9,8,606HowtheGh
6,07,180,122,238,225,92,29,13,3,3,6,607TermsofE
6,08,177,94,223,216,115,67,22,9,8,16,608TheRainK
6,09,165,142,265,154,55,20,11,2,1,4,609S.R.819
7,01,175,122,231,159,62,27,9,6,5,6,701TheSixth
7,10,184,118,222,143,52,21,9,11,3,5,710SeinundZ
7,11,306,175,187,123,70,27,20,7,12,14,711Closure
7,12,361,226,243,125,56,24,19,7,7,24,712X-Cops
7,13,173,73,127,172,143,101,75,63,44,72,713FirstPer
7,14,112,60,169,267,95,41,18,7,5,7,714Theef
7,15,183,151,260,129,41,16,8,6,4,3,715EnAmi
7,16,125,68,183,227,86,35,9,12,2,4,716Chimera
7,17,278,119,162,184,94,77,39,23,28,34,717AllThing
7,18,123,79,230,197,62,26,8,3,1,6,718BrandX
7,19,242,127,195,161,82,54,52,22,10,25,719Hollywoo
7,02,215,120,204,146,67,44,12,6,5,8,702TheSixth
7,20,111,33,86,131,173,121,55,47,31,66,720FightClu
7,21,304,258,198,98,44,17,6,6,2,6,721JeSouhai
7,22,279,211,157,73,31,12,6,1,1,4,722Requiem
7,03,193,130,269,196,75,30,11,6,1,6,703Hungry
